VEHICLE
NUMBER     CAPACITY
   4          100

CUSTOMER
CUST NO.  XCOORD.  YCOORD.  DEMAND  READY TIME  DUE DATE  SERVICE TIME

    0      50       50        0         0        1000        0
    1      33       78       10       100         300        20
    2      59       52       15       120         350        20
    3      10      137       20       147         400        30
    4      20       20        5       200         500        15
    5      35       30       10       128         300        20
    6      40       40       10       478         600        15
    7      25      100       15       250         450        20
    8      60      120       20       351         500        30
    9      32       79       10       200         400        20
   10      45       60       10       219         500        20
   11      50       90       10       384         550        15
   12      70       80        5       196         400        15
   13      63       50       10       364         500        15
   14     100      106        5       567         700        15
   15      80      120       10       846         950        20
   16      90      130       10       598         800        20
   17      75       60        5       824         900        15
   18      30      124       10       231         400        20
   19      85      106        5       186         350        15
   20      40       70       15        33         200        30

